Q006,Q024,Q003,Q001,Q004,Q002,Q008,Q010,Q018,Q019,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
3,1,0,6,3,6,2,1,1,2,592.0,593.9,586.7,571.5,720.0,2
2,1,0,2,1,4,1,0,0,1,461.0,515.6,471.4,476.9,640.0,0
9,2,3,4,5,5,4,2,0,2,540.6,657.5,625.6,683.1,880.0,1
12,2,2,4,3,6,2,1,1,2,566.1,603.8,611.5,681.1,860.0,1
1,0,5,7,0,4,1,0,0,0,530.5,485.1,525.3,390.9,600.0,0
13,2,4,6,4,6,2,1,1,1,554.3,566.7,546.1,603.6,880.0,1
4,1,1,4,1,4,1,1,1,2,420.9,506.1,529.6,613.7,560.0,2
6,2,5,4,3,4,2,0,0,3,511.7,599.2,545.7,699.0,640.0,1
2,1,0,3,0,1,1,0,0,1,471.4,500.7,560.0,392.8,380.0,0
15,3,4,6,3,6,3,2,1,3,638.5,555.7,596.9,680.5,880.0,1
5,1,3,6,3,6,4,1,1,1,662.4,626.8,693.5,773.0,940.0,1
2,0,3,3,1,3,2,0,0,2,489.3,524.7,501.0,598.3,640.0,2
2,0,1,4,1,4,1,1,0,1,396.7,459.9,417.6,469.7,640.0,0
1,0,0,0,0,7,1,0,0,1,411.5,363.7,440.6,407.7,500.0,0
2,0,1,2,1,3,1,0,0,2,407.0,604.0,574.6,602.5,820.0,2
3,1,2,4,5,5,2,0,1,2,575.8,637.8,607.5,577.5,540.0,2
11,3,4,6,5,5,2,1,1,4,391.5,506.1,521.6,553.5,480.0,1
1,0,2,7,3,6,1,1,0,1,561.8,590.5,527.1,655.5,900.0,2
1,0,1,4,5,3,1,0,0,0,426.5,458.1,528.0,669.6,540.0,0
1,0,5,7,1,4,1,1,0,1,447.1,523.9,486.0,409.3,300.0,0
1,1,2,1,1,4,1,0,0,1,476.0,581.0,482.8,399.1,440.0,0
6,1,5,7,3,4,2,1,1,1,561.1,532.9,450.5,533.6,640.0,2
0,0,0,2,0,2,0,0,0,1,466.5,448.4,418.7,464.1,540.0,0
3,0,3,4,1,4,2,1,1,2,419.4,556.9,557.5,460.1,560.0,2
1,0,2,4,1,4,1,0,0,1,499.1,417.6,500.3,488.9,520.0,0
8,3,3,4,3,6,2,0,0,2,704.6,653.0,613.6,750.6,940.0,1
1,1,3,5,5,5,1,1,0,1,588.8,625.8,604.7,559.2,760.0,2
3,1,3,4,3,5,1,1,1,1,470.6,536.2,496.9,492.4,860.0,2
4,1,5,5,4,5,2,0,0,2,474.8,426.3,487.8,486.8,600.0,0
1,0,0,1,0,0,1,0,0,1,451.3,438.0,499.4,526.2,640.0,0
13,2,4,6,4,6,3,1,1,1,586.4,509.4,514.5,668.4,860.0,1
3,1,2,7,1,4,1,1,0,1,407.0,409.3,477.7,404.2,320.0,0
2,0,1,4,1,4,1,0,0,1,407.8,491.5,532.8,489.8,580.0,0
3,0,3,4,1,5,2,0,0,2,528.5,544.7,573.6,501.0,820.0,2
3,1,5,2,5,1,1,1,0,1,594.7,593.8,548.0,608.8,800.0,0
1,0,2,7,1,4,1,0,0,1,551.5,572.3,550.1,453.4,560.0,0
11,1,3,4,3,5,2,2,0,1,541.8,526.5,562.8,526.4,580.0,2
1,0,0,3,0,3,1,1,0,1,413.2,448.1,413.1,411.4,400.0,0
3,3,2,4,1,4,1,0,1,1,370.1,565.8,538.5,702.5,600.0,2
1,0,2,1,1,2,1,0,0,1,501.1,533.8,508.6,399.6,620.0,0
1,0,5,7,5,7,1,0,0,1,335.7,449.4,421.4,388.2,620.0,0
1,0,1,3,5,5,1,1,0,1,406.5,400.2,457.1,447.6,480.0,2
11,1,3,4,1,3,2,1,1,1,622.5,563.9,580.3,746.8,840.0,2
2,0,1,1,1,2,1,0,0,0,466.8,505.3,509.6,533.4,440.0,0
0,0,2,4,1,5,1,0,0,1,461.1,558.7,509.1,458.1,660.0,0
2,0,1,3,1,2,1,0,0,1,489.0,517.6,497.6,494.6,380.0,0
6,3,3,5,3,5,3,1,1,2,565.9,584.0,593.1,569.9,580.0,1
1,0,0,1,0,1,1,0,0,1,428.4,487.4,450.7,572.9,720.0,0
10,2,3,3,4,5,3,2,1,3,582.8,620.1,632.3,612.0,900.0,1
6,1,3,5,3,4,4,1,0,2,449.8,586.5,582.7,725.5,860.0,1
1,0,5,7,1,4,1,0,0,0,493.7,588.1,573.2,590.2,520.0,2
2,0,5,7,1,4,1,0,0,0,451.7,458.4,464.1,344.9,520.0,0
6,3,2,6,3,4,2,1,0,1,488.3,563.1,549.5,511.6,900.0,1
6,0,1,2,1,1,1,1,0,2,521.1,571.6,605.5,665.4,580.0,2
3,0,1,2,5,4,2,1,0,1,527.4,564.6,451.8,482.4,440.0,2
1,0,5,7,1,2,1,0,0,1,392.3,526.6,505.0,583.7,540.0,0
10,0,4,6,4,6,3,1,0,2,524.1,573.6,551.0,636.8,840.0,1
1,1,1,4,1,4,1,0,0,1,593.2,611.6,588.7,690.7,880.0,2
1,1,1,4,2,4,1,0,0,1,466.4,535.6,535.6,438.6,360.0,0
6,1,1,4,1,2,1,1,0,1,573.9,604.8,562.1,451.5,540.0,2
7,1,3,4,2,4,3,0,0,1,403.2,370.4,384.2,401.7,720.0,0
2,1,1,4,1,4,1,0,0,1,536.7,626.4,672.2,725.6,820.0,2
10,2,3,5,3,6,3,1,1,1,643.6,690.5,578.6,732.1,820.0,1
5,1,1,4,1,6,1,1,0,3,452.7,370.9,481.0,529.1,540.0,0
2,1,1,1,1,3,1,1,0,1,705.3,616.1,507.6,793.9,940.0,2
3,1,3,1,3,3,1,0,1,2,390.8,430.8,409.1,380.6,400.0,2
1,1,1,3,1,4,2,1,0,1,389.0,518.5,551.2,534.3,880.0,2
1,0,1,3,1,1,1,0,0,1,423.7,484.5,513.8,379.5,440.0,0
6,1,3,4,3,5,1,1,0,1,570.4,546.4,539.2,588.6,440.0,2
1,0,0,2,3,6,1,0,0,1,454.3,525.6,483.1,513.0,400.0,0
1,1,2,3,2,4,1,1,0,1,585.9,586.1,629.2,705.9,940.0,2
5,1,4,5,3,4,1,0,0,1,596.1,604.7,570.3,712.6,880.0,2
0,0,1,4,0,3,1,0,0,1,510.5,407.4,476.4,511.4,600.0,0
4,2,4,5,3,6,2,1,0,2,498.5,348.8,493.1,546.4,0.0,0
3,1,0,1,0,2,3,1,0,1,524.6,515.5,492.4,599.7,740.0,2
1,0,2,0,5,1,1,0,0,1,429.5,467.0,477.2,439.7,420.0,0
2,1,5,7,3,7,2,0,1,1,548.8,531.5,521.1,467.2,0.0,2
1,0,0,7,5,7,1,0,0,1,460.1,539.9,547.1,454.8,560.0,2
9,1,2,4,4,6,1,1,1,1,638.3,612.3,574.6,700.9,820.0,2
3,1,3,4,3,4,1,1,1,1,398.6,458.4,513.1,360.6,340.0,2
3,2,1,4,3,5,3,0,0,2,475.5,456.7,445.5,550.0,720.0,2
1,0,5,0,1,1,1,0,0,1,348.0,349.0,346.1,398.5,280.0,0
3,0,2,3,1,4,1,0,0,1,367.2,451.6,551.2,350.3,360.0,0
1,0,5,7,1,2,1,0,0,1,449.1,462.9,526.1,501.7,920.0,0
1,0,1,4,3,6,1,0,0,1,536.0,646.3,623.8,678.9,820.0,2
3,0,3,2,1,4,3,1,1,3,526.4,557.0,478.0,567.4,460.0,1
0,0,5,1,5,3,1,0,0,1,401.0,421.9,313.7,530.2,620.0,0
1,0,0,0,0,0,1,0,0,1,452.2,533.1,476.3,362.2,580.0,0
13,1,2,1,0,1,2,2,0,2,684.4,789.0,674.1,598.5,940.0,2
1,0,0,3,0,3,1,1,0,1,582.0,522.1,580.9,574.3,920.0,2
4,1,2,4,3,6,2,1,0,2,593.3,610.5,549.4,654.3,920.0,2
1,1,1,5,1,3,1,1,0,1,432.8,531.4,536.5,490.4,560.0,2
1,0,0,3,0,2,1,0,0,0,402.4,486.2,472.5,424.9,760.0,0
7,2,3,5,3,6,2,1,1,3,562.1,556.6,570.7,605.8,720.0,1
0,1,5,7,5,3,1,2,0,1,470.5,380.1,408.9,374.7,660.0,0
0,0,0,0,0,2,1,0,0,1,461.6,519.2,514.8,566.8,740.0,0
2,0,1,7,1,2,2,0,0,3,558.0,395.6,503.9,455.4,760.0,0
1,1,3,6,3,6,1,0,0,1,407.4,418.2,409.4,332.2,500.0,0
1,0,0,1,0,1,1,0,0,1,460.3,398.9,430.4,466.0,680.0,0
5,0,1,4,1,5,1,1,0,1,536.9,587.2,577.4,695.1,800.0,2
1,0,2,1,2,3,1,0,0,1,581.6,582.6,537.3,645.3,600.0,0
16,1,4,5,4,5,4,2,1,4,594.4,618.0,643.1,737.0,920.0,1
11,1,4,6,5,5,3,2,1,1,573.5,592.0,592.8,642.4,900.0,1
6,2,5,2,2,4,4,2,1,4,414.4,497.0,537.5,413.9,700.0,1
6,1,3,3,3,6,2,0,0,1,469.4,528.3,577.2,604.4,680.0,1
4,1,3,7,1,5,1,0,1,1,540.4,597.2,585.5,535.5,600.0,2
2,0,0,3,3,4,1,0,0,1,473.8,440.6,424.4,446.3,580.0,0
1,0,0,4,0,4,1,0,0,1,406.8,516.8,489.5,358.7,580.0,0
3,1,2,4,3,5,1,0,0,1,527.2,525.9,555.3,641.5,620.0,2
9,1,2,2,4,6,3,1,1,2,711.4,640.5,568.8,725.7,920.0,1
1,1,0,1,1,1,1,0,0,1,501.8,551.2,504.8,409.2,560.0,0
8,0,4,6,4,6,3,2,0,1,449.3,513.2,503.5,409.9,700.0,1
10,2,3,4,3,6,2,1,1,2,566.7,557.9,577.1,625.1,360.0,1
14,4,4,6,4,6,3,1,1,3,616.3,517.6,513.7,672.9,860.0,1
5,1,2,4,1,4,1,1,1,3,488.2,538.4,498.5,654.1,640.0,2
8,1,3,2,3,4,2,1,0,1,505.4,517.0,470.0,513.0,760.0,2
7,1,3,3,3,4,2,1,1,2,567.5,568.3,605.2,710.3,840.0,1
7,1,3,5,5,5,3,2,0,2,591.0,642.4,643.7,700.0,880.0,1
2,1,3,5,1,5,1,0,0,1,590.6,577.8,582.3,707.8,520.0,2
16,4,4,6,3,6,4,1,1,1,399.2,579.0,557.1,672.2,600.0,1
9,3,3,4,3,6,4,1,1,3,657.2,631.1,617.6,766.2,960.0,1
1,0,1,1,1,3,1,0,1,1,380.0,544.9,500.3,576.2,540.0,2
6,1,3,4,1,5,2,2,1,1,324.6,365.0,366.3,357.9,520.0,2
1,0,2,4,1,5,1,0,0,1,412.6,408.9,434.2,437.9,640.0,0
1,0,3,5,1,3,1,0,0,0,534.5,539.4,584.6,558.0,520.0,2
2,1,2,2,3,1,1,1,0,1,498.3,603.4,583.1,407.3,440.0,2
2,0,5,7,5,4,3,1,1,1,483.0,0.0,391.2,375.0,460.0,0
1,1,2,3,1,3,2,0,0,1,636.6,605.5,605.9,690.2,900.0,0
3,1,1,4,1,4,1,1,0,1,527.9,536.3,535.8,694.1,480.0,2
6,1,3,4,1,3,2,0,1,2,476.7,479.9,505.2,537.3,480.0,2
1,0,1,4,1,3,1,0,0,1,403.6,408.2,447.2,613.3,480.0,0
0,0,0,0,1,0,1,0,0,1,409.6,429.2,395.2,398.7,440.0,0
2,0,1,7,3,7,1,1,0,1,380.3,429.1,481.8,329.8,580.0,0
1,0,0,7,1,3,1,0,0,1,504.1,416.5,478.6,374.8,260.0,0
